type,amount,address
cpgf,30.1369863,tnam1qyplu8gruqmmvwp7x7kd92m6x4xpyce265fa05r6
cpgf,30.1369863,tnam1q9wgd9tgmrhpkdhur5ug0kdpswz0x2guvckcjcaz
cpgf,30.1369863,tnam1q8re97lpfp5kmj5nu3t5sxvlp8yydnfjkuzw76dp
cpgf,30.1369863,tnam1q9yztaqmtf6unwttfsy3987qles7l3qqj5v7asar
cpgf,30.1369863,tnam1qy3gx9cey3mhunj3hvehr5tcflz7s7egygr97a2q
cpgf,30.1369863,tnam1q8236gr76rrsluvq27j8mkma8u04hz0khszatckw
cpgf,30.1369863,tnam1qx5psh6xca8n4ezukdy5yynhtr3a6m65lv54ms3p
cpgf,30.1369863,tnam1qyqef0g4navpwjh43v27y0jx62dxkktqwyj6f84h
cpgf,30.1369863,tnam1qy8470ge8g608l69t0qt0g6ulmxnsckr9s74ew4j
cpgf,30.1369863,tnam1q8qkkdq9wvpk0udfaf64cswzpnwe033jpvcmrxz6
cpgf,30.1369863,tnam1q8azt2cpqmc6tr2gvg5v62e4jr0t9327yupaf595
cpgf,30.1369863,tnam1qys0gg3etus4zegeq6vljyzpvhwr4uvydsllq6c7
cpgf,30.1369863,tnam1q9rq7p4wzy6fea96xs5sr8qnsxsfdr2zugfsvw2n
cpgf,30.1369863,tnam1q9nnw09fl7a3f2nzmu6dtqea9txthjevnvruc38g
cpgf,30.1369863,tnam1q8qr408fvssqpqaht2qspryq2yfu7lds0urktcam
cpgf,30.1369863,tnam1qyl2fc8c358avg47ff5lkc47d4cnk0x8wy96ax9q
cpgf,30.1369863,tnam1q98n27gcgnwxxvurcruyvfge0fenczw6nuf7re5n
cpgf,30.1369863,tnam1qyauvf4gmvtthknkrftu9jpjaqn6k0k6nu3jucey
cpgf,30.1369863,tnam1qycjura8y6uceeuh4wtlyyt0pam6av9xegxtvrkz
cpgf,30.1369863,tnam1q9pnpud5ha22twh44y333rcadlx34xflysvhqtw8
cpgf,30.1369863,tnam1q8wp34dknmcl84t46pk7syjwz7ys36ppksxg6xsc
cpgf,30.1369863,tnam1qx405kgvey8wwfcyt7rgsr4nvkrqsnztxs2kz7wv
cpgf,30.1369863,tnam1q8e26wzlfj3e9env64jh2txsxryu5j3hpg9c2fp4
cpgf,30.1369863,tnam1q8vztqtl5aknthxa3jezezr7amkgz3zp5vz82qe5
cpgf,30.1369863,tnam1qyurmruaj76atz0pc0skzq36se3f3qfppy8jhu7p
cpgf,30.1369863,tnam1q973h5dwpl0wv4t8zy9gmafllmrnalde0vek58zq
cpgf,30.1369863,tnam1q9wqutze9sgfqazjetps5ekjzafeuca8js9d8m6k
cpgf,30.1369863,tnam1q8s9kj30dhsnw5kvtf0mq2exgyup64l28sxn953p
cpgf,30.1369863,tnam1q89xnpnrfsefr9ynj4v8ngdu35me8xudzgn94afm
cpgf,30.1369863,tnam1qx304q35wkfd5zd07rgapwsrmg3tsapncsqdcg25
cpgf,30.1369863,tnam1q8usghsv57lyfr26wtpyx9ry8v5h9lq63uakqupt
cpgf,30.1369863,tnam1q9ctkntly0ggv796axf4flnz3mgtx42ucuh5xhme
cpgf,30.1369863,tnam1qyswpl4wvk4zq45axze9mdghqr9n9ls9yvm9t66c
cpgf,30.1369863,tnam1qxqj95as4g2hmkuj7uzvklwgch6tvqh8ay84m2jc
cpgf,30.1369863,tnam1qy9qar6ayhj9xgqwv4sqlmgr2cdtpmca3vte6xkx
cpgf,30.1369863,tnam1q8pueqy3yqmntt4k25ld5v0ljp87me8flg7pkvde
cpgf,30.1369863,tnam1qxypnz2hsgdn6avhz6szk82c6nzxq7gvvvexmnrt
cpgf,30.1369863,tnam1q9vdxnkrqwnw5vrgfypqz6ndejp6sy2sfgc9pk5d
cpgf,30.1369863,tnam1q8vzrsmuy3av4t5354u07350lsyksg6w7s60tr6f
cpgf,30.1369863,tnam1qxepvwg3c24kv0ltlkaasxscy3fsk89h8vrwzgd7
cpgf,30.1369863,tnam1q85gzuzhu60s7gd3vg4umeccu39fv8c6tqafxaqq
cpgf,30.1369863,tnam1q9skz9pj8rac6tnjkcahqw7q68tg5ekgmsxurann
